line,plan_rows,plan_stores,act_rows,act_stores,cover,purity,wd_match,sameday,phase,qty,note,kind
000338545,235,211.0,233,199.0,0.91,0.9648,0.91,0.8894,0.91,0.991,,照做型
000339039,253,230.0,272,238.0,0.9609,0.9286,0.9565,0.9605,0.9565,1.075,,照做型
000340007,261,234.0,257,228.0,0.9487,0.9737,0.9487,0.9425,0.9487,0.985,,照做型
000340101,183,179.0,206,198.0,0.8883,0.803,0.8883,0.8852,0.8827,1.126,,漂移/混合
000340501,312,258.0,259,216.0,0.7326,0.875,0.7171,0.6923,0.7326,0.83,,漂移/混合
000340591,176,153.0,264,221.0,1.0,0.6923,1.0,1.0,1.0,1.5,,照做型
000341803,121,107.0,229,215.0,0.8505,0.4233,0.8,0.8099,0.8505,1.893,,漂移/混合
000341860,260,212.0,222,184.0,0.8538,0.9837,0.7736,0.7269,0.7972,0.854,,少跑但没跑偏
000343720,44,44.0,219,205.0,1.0,0.2146,1.0,1.0,1.0,4.977,,照做型
000343775,171,168.0,192,184.0,0.8333,0.7609,0.8294,0.8246,0.8274,1.123,,漂移/混合
000412000,244,205.0,171,166.0,0.5756,0.7108,0.4878,0.3934,0.5122,0.701,,漂移/混合
000423268,112,109.0,265,218.0,0.9725,0.4862,0.9266,0.9196,0.9541,2.366,,照做型
000425319,174,152.0,244,207.0,0.9539,0.7005,0.9539,0.9598,0.9539,1.402,,照做型
000444100,231,210.0,169,158.0,0.581,0.7722,0.4286,0.3766,0.5095,0.732,,漂移/混合
000448996,74,63.0,199,178.0,1.0,0.3539,1.0,0.9595,1.0,2.689,,照做型
000474825,248,220.0,281,248.0,0.8955,0.7944,0.8955,0.9032,0.8909,1.133,,漂移/混合
000478015,228,219.0,192,189.0,0.4612,0.5344,0.2466,0.1404,0.2922,0.842,,漂移/混合
000479151,236,214.0,262,237.0,0.9953,0.8987,0.9953,0.9958,0.9953,1.11,,照做型
000495972,245,229.0,171,171.0,0.6288,0.8421,0.4891,0.4327,0.5459,0.698,,漂移/混合
000504766,285,255.0,208,187.0,0.4784,0.6524,0.2706,0.2175,0.3725,0.73,,漂移/混合
000532987,193,178.0,230,195.0,0.9775,0.8923,0.9775,0.9793,0.9775,1.192,,照做型
000544784,256,221.0,248,231.0,0.5611,0.5368,0.4163,0.3008,0.4615,0.969,,漂移/混合
000545650,265,242.0,194,187.0,0.4835,0.6257,0.124,0.0377,0.219,0.732,,漂移/混合
000601353,242,223.0,271,238.0,0.9507,0.8908,0.9507,0.9545,0.9507,1.12,,照做型
000601363,207,197.0,136,136.0,0.665,0.9632,0.1066,0.0097,0.3198,0.657,,少跑但没跑偏
000604272,164,149.0,199,190.0,0.3893,0.3053,0.255,0.2317,0.3289,1.213,,漂移/混合
000608772,167,143.0,215,187.0,0.6923,0.5294,0.6352,0.6407,0.6853,1.287,,漂移/混合
000611030,67,67.0,271,231.0,0.8507,0.2468,0.8507,0.8507,0.8507,4.045,,漂移/混合
000621190,266,218.0,231,227.0,0.445,0.4273,0.1938,0.1466,0.2752,0.868,,漂移/混合
000643531,263,238.0,233,221.0,0.3908,0.4208,0.1176,0.0304,0.1723,0.886,,漂移/混合
000644322,238,217.0,281,259.0,0.8756,0.7336,0.8664,0.8571,0.871,1.181,,漂移/混合
000644405,228,204.0,178,175.0,0.8186,0.9543,0.7014,0.636,0.7157,0.781,,少跑但没跑偏
000645986,229,229.0,200,192.0,0.262,0.3125,0.1572,0.1485,0.2052,0.873,,漂移/混合
000648339,269,244.0,192,186.0,0.4139,0.543,0.2787,0.2454,0.3361,0.714,,漂移/混合
000649981,152,148.0,232,208.0,0.8851,0.6298,0.8792,0.8816,0.8851,1.526,,漂移/混合
000650808,52,52.0,253,220.0,0.9231,0.2182,0.9231,0.9231,0.9231,4.865,,照做型
000651389,222,196.0,184,180.0,0.6684,0.7278,0.6378,0.5586,0.5969,0.829,,漂移/混合
000652136,213,196.0,238,217.0,0.9235,0.8341,0.9235,0.9249,0.9235,1.117,,照做型
000653294,24,24.0,270,227.0,1.0,0.1057,1.0,1.0,1.0,11.25,,照做型
000656726,239,239.0,141,140.0,0.3222,0.55,0.1548,0.1381,0.2469,0.59,,漂移/混合
000657892,190,176.0,262,230.0,0.8125,0.6217,0.7727,0.7789,0.7955,1.379,,漂移/混合
000658193,110,104.0,282,244.0,0.9904,0.4221,0.9904,0.9909,0.9904,2.564,,照做型
000658550,16,16.0,197,180.0,1.0,0.0889,1.0,1.0,1.0,12.312,,照做型
000661437,178,171.0,402,312.0,0.9649,0.5288,0.9532,0.9494,0.9532,2.258,,照做型
000663253,87,85.0,248,242.0,0.8588,0.3017,0.8588,0.8621,0.8588,2.851,,漂移/混合
000664988,263,229.0,31,30.0,0.083,0.6333,0.0236,0.019,0.0218,0.118,,漂移/混合
000665947,37,37.0,8,8.0,0.2162,1.0,0.0811,0.0541,0.1351,0.216,,少跑但没跑偏
000666131,257,240.0,267,242.0,0.9708,0.9628,0.9708,0.9728,0.9708,1.039,,照做型
000667049,239,221.0,170,146.0,0.5204,0.7877,0.2172,0.1423,0.2851,0.711,,漂移/混合
000667325,256,239.0,151,138.0,0.3431,0.5942,0.1757,0.1055,0.2552,0.59,,漂移/混合
000669395,44,42.0,313,214.0,0.881,0.1729,0.881,0.8864,0.881,7.114,,漂移/混合
000669401,33,33.0,279,223.0,0.9091,0.1345,0.9091,0.9091,0.9091,8.455,,照做型
000672773,211,186.0,232,215.0,0.6667,0.5767,0.6058,0.5972,0.6452,1.1,,漂移/混合
000675049,197,188.0,234,208.0,0.6596,0.5962,0.6508,0.6447,0.6543,1.188,,漂移/混合
000676068,98,93.0,60,54.0,0.0538,0.0926,0.0105,0.0,0.0108,0.612,,漂移/混合
000676593,11,11.0,259,238.0,1.0,0.0462,0.7273,0.5455,0.7273,23.545,,地块同步·星期偏移
000676638,172,172.0,283,221.0,0.657,0.5113,0.5,0.4884,0.6279,1.645,,漂移/混合
000677137,188,179.0,145,139.0,0.5196,0.6691,0.4358,0.3936,0.4637,0.771,,漂移/混合
000677953,276,234.0,226,205.0,0.6197,0.7073,0.4658,0.3841,0.5171,0.819,,漂移/混合
000683993,258,232.0,218,201.0,0.5517,0.6368,0.2328,0.186,0.3707,0.845,,漂移/混合
000685128,167,151.0,230,195.0,0.8874,0.6872,0.8882,0.8982,0.8874,1.377,,漂移/混合
000685195,247,247.0,227,221.0,0.7571,0.8462,0.4858,0.4696,0.587,0.919,,漂移/混合
