line,city,verdict,习惯规律性,计划周几不同占比,每店周几数,门店数
000338545,天津市,执行到位（计划与实际一致）,0.974,0.0,1.06,192
000339039,汕头市,执行到位（计划与实际一致）,0.986,0.009,1.03,221
000340007,广州市,执行到位（计划与实际一致）,0.992,0.014,1.02,222
000340101,佛山市,执行到位（计划与实际一致）,0.994,0.013,1.01,159
000340501,郑州市,执行到位（计划与实际一致）,0.982,0.032,1.04,189
000340591,深圳市,执行到位（计划与实际一致）,0.955,0.072,1.1,153
000341803,惠州市,执行到位（计划与实际一致）,0.973,0.088,1.05,91
000341860,郑州市,执行到位（计划与实际一致）,0.971,0.144,1.06,181
000343720,重庆市,执行到位（计划与实际一致）,0.943,0.0,1.11,44
000343775,扬州市,执行到位（计划与实际一致）,0.975,0.071,1.05,140
000412000,北京市,执行到位（计划与实际一致）,0.987,0.169,1.03,118
000423268,大连市,执行到位（计划与实际一致）,0.901,0.151,1.24,106
000425319,深圳市,执行到位（计划与实际一致）,0.976,0.041,1.05,145
000444100,北京市,计划不够好（他有规律，计划写错天）,0.959,0.287,1.08,122
000448996,合肥市,执行到位（计划与实际一致）,0.963,0.048,1.08,63
000474825,广州市,执行到位（计划与实际一致）,0.991,0.01,1.02,197
000478015,哈尔滨市,计划不够好（他有规律，计划写错天）,0.99,0.475,1.02,101
000479151,中山市,执行到位（计划与实际一致）,0.995,0.009,1.01,213
000495972,石家庄市,执行到位（计划与实际一致）,1.0,0.222,1.0,144
000504766,济南市,计划不够好（他有规律，计划写错天）,0.93,0.484,1.14,122
000532987,泉州市,执行到位（计划与实际一致）,0.955,0.075,1.09,174
000544784,北京市,计划不够好（他有规律，计划写错天）,0.976,0.258,1.05,124
000545650,太原市,计划不够好（他有规律，计划写错天）,0.974,0.778,1.05,117
000601353,东莞市,执行到位（计划与实际一致）,0.967,0.009,1.07,212
000601363,长春市,计划不够好（他有规律，计划写错天）,1.0,0.84,1.0,131
000604272,北京市,计划不够好（他有规律，计划写错天）,0.968,0.362,1.07,58
000608772,沈阳市,执行到位（计划与实际一致）,0.914,0.162,1.17,99
000611030,上海市,计划不够好（他有规律，计划写错天）,0.918,0.333,1.18,57
000621190,青岛市,计划不够好（他有规律，计划写错天）,0.99,0.536,1.02,97
000643531,天津市,计划不够好（他有规律，计划写错天）,0.989,0.699,1.02,93
000644322,海口市,执行到位（计划与实际一致）,0.99,0.011,1.02,190
000644405,漳州市,执行到位（计划与实际一致）,0.991,0.156,1.02,167
000645986,朔州市,计划不够好（他有规律，计划写错天）,0.975,0.4,1.05,60
000648339,保定市,计划不够好（他有规律，计划写错天）,0.97,0.366,1.06,101
000649981,东莞市,执行到位（计划与实际一致）,0.966,0.076,1.08,131
000650808,上海市,执行到位（计划与实际一致）,0.948,0.062,1.1,48
000651389,石家庄市,执行到位（计划与实际一致）,0.992,0.061,1.02,131
000652136,长沙市,执行到位（计划与实际一致）,0.986,0.028,1.03,181
000653294,大连市,执行到位（计划与实际一致）,0.917,0.042,1.21,24
000656726,金华市,计划不够好（他有规律，计划写错天）,0.994,0.519,1.01,77
000657892,苏州市,执行到位（计划与实际一致）,0.948,0.098,1.11,143
000658193,上海市,执行到位（计划与实际一致）,0.942,0.058,1.13,103
000658550,绵阳市,计划不够好（他有规律，计划写错天）,0.969,1.0,1.06,16
000661437,大连市,执行到位（计划与实际一致）,0.849,0.212,1.32,165
000663253,南京市,执行到位（计划与实际一致）,0.993,0.0,1.01,73
000664988,青岛市,计划不够好（他有规律，计划写错天）,0.974,0.684,1.05,19
000665947,宝鸡市,计划不够好（他有规律，计划写错天）,1.0,0.625,1.0,8
000666131,深圳市,执行到位（计划与实际一致）,0.985,0.009,1.03,233
000667049,长春市,计划不够好（他有规律，计划写错天）,0.916,0.609,1.17,115
000667325,乌鲁木齐市,计划不够好（他有规律，计划写错天）,0.951,0.537,1.1,82
000669395,重庆市,计划不够好（他有规律，计划写错天）,0.851,0.676,1.35,37
000669401,兰州市,执行到位（计划与实际一致）,0.883,0.133,1.27,30
000672773,沈阳市,执行到位（计划与实际一致）,0.948,0.153,1.1,124
000675049,大连市,执行到位（计划与实际一致）,0.974,0.04,1.06,124
000676068,沈阳市,计划不够好（他有规律，计划写错天）,1.0,0.8,1.0,5
000676593,唐山市,计划不够好（他有规律，计划写错天）,0.909,0.909,1.18,11
000676638,淄博市,计划不够好（他有规律，计划写错天）,0.903,0.301,1.2,113
000677137,长春市,执行到位（计划与实际一致）,0.984,0.161,1.03,93
000677953,潍坊市,计划不够好（他有规律，计划写错天）,0.948,0.276,1.11,145
000683993,包头市,计划不够好（他有规律，计划写错天）,0.953,0.586,1.09,128
000685128,佛山市,执行到位（计划与实际一致）,0.964,0.067,1.07,134
000685195,金华市,计划不够好（他有规律，计划写错天）,0.989,0.358,1.02,187
000685565,厦门市,执行到位（计划与实际一致）,0.995,0.009,1.01,214
000685659,深圳市,执行到位（计划与实际一致）,0.955,0.1,1.09,160
000685664,佛山市,执行到位（计划与实际一致）,0.988,0.021,1.03,189
000685767,广州市,执行到位（计划与实际一致）,0.976,0.07,1.05,186
000695113,中山市,执行到位（计划与实际一致）,0.989,0.029,1.02,208
000695117,成都市,执行到位（计划与实际一致）,0.9,0.0,1.2,5
000698771,深圳市,执行到位（计划与实际一致）,0.974,0.048,1.05,209
000699200,湛江市,执行到位（计划与实际一致）,0.993,0.0,1.01,224
000699805,汕头市,执行到位（计划与实际一致）,0.937,0.068,1.14,207
000699979,广州市,执行到位（计划与实际一致）,0.998,0.0,1.0,235
000700020,广州市,执行到位（计划与实际一致）,1.0,0.0,1.0,227
000701809,北京市,计划不够好（他有规律，计划写错天）,0.98,0.297,1.04,128
000702280,贵阳市,执行到位（计划与实际一致）,0.84,0.16,1.32,50
000702358,上海市,执行到位（计划与实际一致）,1.0,0.0,1.0,203
000703627,常州市,执行到位（计划与实际一致）,0.974,0.031,1.05,97
000705502,,计划不够好（他有规律，计划写错天）,0.787,0.356,1.49,59
000706671,徐州市,执行到位（计划与实际一致）,0.937,0.12,1.15,158
000707336,阜阳市,计划不够好（他有规律，计划写错天）,0.927,0.571,1.15,84
000707342,芜湖市,执行到位（计划与实际一致）,0.956,0.123,1.09,57
000709902,无锡市,执行到位（计划与实际一致）,0.981,0.039,1.04,181
000710328,嘉兴市,计划不够好（他有规律，计划写错天）,0.962,0.923,1.08,13
000711323,上海市,执行到位（计划与实际一致）,0.967,0.022,1.07,136
000711850,深圳市,执行到位（计划与实际一致）,0.985,0.018,1.03,228
000712217,昆明市,计划不够好（他有规律，计划写错天）,0.973,0.34,1.05,150
000712433,郑州市,执行到位（计划与实际一致）,0.952,0.231,1.1,52
000712516,烟台市,计划不够好（他有规律，计划写错天）,0.98,0.824,1.04,51
000712606,包头市,执行到位（计划与实际一致）,0.969,0.05,1.07,160
000712608,沈阳市,执行到位（计划与实际一致）,0.936,0.127,1.14,102
000712667,广州市,执行到位（计划与实际一致）,0.988,0.0,1.02,209
000714057,北京市,执行到位（计划与实际一致）,0.988,0.144,1.02,125
000714395,西安市,执行到位（计划与实际一致）,0.972,0.052,1.06,191
000714922,西宁市,执行到位（计划与实际一致）,0.924,0.035,1.16,86
000716325,广州市,执行到位（计划与实际一致）,0.974,0.095,1.05,116
000716327,肇庆市,执行到位（计划与实际一致）,0.982,0.006,1.04,176
000718160,银川市,计划不够好（他有规律，计划写错天）,0.818,0.727,1.36,11
000721070,西安市,执行到位（计划与实际一致）,0.949,0.099,1.11,223
000724728,济南市,计划不够好（他有规律，计划写错天）,0.898,0.252,1.27,115
000725968,三亚市,执行到位（计划与实际一致）,1.0,0.0,1.0,218
000732776,温州市,计划不够好（他有规律，计划写错天）,0.976,0.35,1.05,103
000733133,潍坊市,计划不够好（他有规律，计划写错天）,0.965,0.333,1.07,135
000733235,哈尔滨市,执行到位（计划与实际一致）,0.966,0.1,1.07,201
000734397,重庆市,执行到位（计划与实际一致）,0.941,0.059,1.12,17
000734621,无锡市,执行到位（计划与实际一致）,0.966,0.058,1.08,172
000741130,深圳市,执行到位（计划与实际一致）,0.984,0.022,1.04,228
000741226,烟台市,计划不够好（他有规律，计划写错天）,0.974,0.598,1.05,97
000765513,武汉市,执行到位（计划与实际一致）,0.935,0.111,1.13,108
000767735,北京市,执行到位（计划与实际一致）,0.989,0.237,1.02,93
000770730,厦门市,执行到位（计划与实际一致）,0.95,0.036,1.12,196
000771486,广州市,执行到位（计划与实际一致）,1.0,0.0,1.0,212
000771641,珠海市,执行到位（计划与实际一致）,0.964,0.048,1.09,227
000771816,福州市,执行到位（计划与实际一致）,0.984,0.03,1.04,133
000772089,广州市,执行到位（计划与实际一致）,0.998,0.005,1.0,221
000772527,厦门市,执行到位（计划与实际一致）,0.983,0.005,1.04,206
000772623,武汉市,计划不够好（他有规律，计划写错天）,0.965,0.289,1.07,114
000772790,昆明市,执行到位（计划与实际一致）,0.965,0.065,1.08,139
000772796,兰州市,计划不够好（他有规律，计划写错天）,0.807,0.351,1.39,57
000773393,郑州市,执行到位（计划与实际一致）,0.98,0.079,1.04,152
000774113,太原市,执行到位（计划与实际一致）,0.983,0.03,1.03,203
000782263,昆明市,执行到位（计划与实际一致）,0.979,0.096,1.04,136
000782275,昆明市,执行到位（计划与实际一致）,0.958,0.062,1.08,48
000782642,惠州市,执行到位（计划与实际一致）,0.972,0.005,1.06,210
000787397,哈尔滨市,执行到位（计划与实际一致）,1.0,0.191,1.0,94
000795399,天津市,计划不够好（他有规律，计划写错天）,1.0,0.726,1.0,62
000796635,呼和浩特市,计划不够好（他有规律，计划写错天）,0.946,0.254,1.11,138
000798424,上海市,执行到位（计划与实际一致）,0.973,0.025,1.06,199
000799013,唐山市,计划不够好（他有规律，计划写错天）,0.958,0.917,1.08,12
000811058,深圳市,执行到位（计划与实际一致）,0.991,0.034,1.02,176
000811371,贵阳市,执行到位（计划与实际一致）,0.957,0.043,1.09,116
000825758,合肥市,计划不够好（他有规律，计划写错天）,0.994,0.55,1.01,80
000825796,南通市,执行到位（计划与实际一致）,1.0,0.005,1.0,187
000826064,太原市,计划不够好（他有规律，计划写错天）,0.875,0.646,1.27,96
000826911,杭州市,执行到位（计划与实际一致）,0.955,0.205,1.09,44
000829112,重庆市,执行到位（计划与实际一致）,0.85,0.22,1.34,41
000837348,重庆市,计划不够好（他有规律，计划写错天）,0.926,0.562,1.18,130
000838047,北京市,计划不够好（他有规律，计划写错天）,0.995,0.352,1.01,108
000838882,重庆市,计划不够好（他有规律，计划写错天）,0.989,0.568,1.02,44
000840245,上海市,执行到位（计划与实际一致）,0.939,0.039,1.14,180
000843187,苏州市,执行有问题（他自己没规律）,0.0,0.0,0.0,0
000844662,成都市,执行到位（计划与实际一致）,0.912,0.211,1.21,19
000845240,咸阳市,计划不够好（他有规律，计划写错天）,0.986,0.959,1.03,97
000845597,茂名市,执行到位（计划与实际一致）,0.98,0.0,1.04,206
000846281,合肥市,执行到位（计划与实际一致）,1.0,0.13,1.0,69
000847598,北京市,执行到位（计划与实际一致）,0.955,0.21,1.09,100
000847739,石家庄市,执行到位（计划与实际一致）,0.976,0.17,1.05,182
000851279,北京市,计划不够好（他有规律，计划写错天）,0.994,0.427,1.01,82
000851281,成都市,执行到位（计划与实际一致）,0.964,0.037,1.07,160
000851283,成都市,执行到位（计划与实际一致）,0.833,0.158,1.37,19
000851322,成都市,执行到位（计划与实际一致）,0.972,0.031,1.06,65
000851717,眉山市,计划不够好（他有规律，计划写错天）,0.874,0.3,1.32,130
000851729,西安市,执行到位（计划与实际一致）,0.918,0.116,1.17,190
000851730,青岛市,执行到位（计划与实际一致）,0.919,0.218,1.18,119
000851773,深圳市,执行到位（计划与实际一致）,0.973,0.031,1.06,228
000852009,成都市,执行到位（计划与实际一致）,0.958,0.046,1.1,87
000852603,成都市,执行到位（计划与实际一致）,0.919,0.11,1.19,127
000855033,上海市,执行到位（计划与实际一致）,0.974,0.014,1.07,139
000855364,杭州市,执行到位（计划与实际一致）,0.996,0.104,1.01,125
000855388,杭州市,执行到位（计划与实际一致）,0.983,0.013,1.04,229
000855395,上海市,计划不够好（他有规律，计划写错天）,0.933,0.423,1.13,52
000855576,上海市,执行到位（计划与实际一致）,0.923,0.186,1.16,97
000855577,石家庄市,计划不够好（他有规律，计划写错天）,0.973,0.479,1.05,146
000855578,泰州市,执行到位（计划与实际一致）,0.959,0.092,1.08,109
000855582,青岛市,计划不够好（他有规律，计划写错天）,0.975,0.275,1.05,80
000856001,温州市,计划不够好（他有规律，计划写错天）,0.92,0.51,1.16,104
000856514,重庆市,计划不够好（他有规律，计划写错天）,0.794,0.324,1.44,68
000857154,,计划不够好（他有规律，计划写错天）,0.734,0.34,1.6,47
000859299,成都市,执行到位（计划与实际一致）,0.917,0.079,1.18,76
000859505,宁波市,计划不够好（他有规律，计划写错天）,0.988,0.524,1.02,84
000859827,天津市,计划不够好（他有规律，计划写错天）,0.83,0.807,1.36,109
000859839,无锡市,执行到位（计划与实际一致）,0.991,0.026,1.03,38
000859841,厦门市,执行到位（计划与实际一致）,0.983,0.022,1.03,181
000860516,滨州市,计划不够好（他有规律，计划写错天）,0.938,0.66,1.12,97
000860562,宁波市,计划不够好（他有规律，计划写错天）,0.673,0.815,1.74,27
000860828,长沙市,执行到位（计划与实际一致）,0.981,0.053,1.04,151
000862367,上海市,执行到位（计划与实际一致）,0.989,0.129,1.02,93
000862716,青岛市,计划不够好（他有规律，计划写错天）,0.944,0.254,1.12,130
000863973,秦皇岛市,执行到位（计划与实际一致）,0.828,0.121,1.36,66
000864355,苏州市,执行到位（计划与实际一致）,0.977,0.048,1.06,209
000865348,太原市,计划不够好（他有规律，计划写错天）,0.961,0.331,1.08,133
000865709,广州市,执行到位（计划与实际一致）,0.994,0.009,1.01,223
000865960,广州市,执行到位（计划与实际一致）,0.978,0.013,1.04,156
000866035,贵阳市,执行到位（计划与实际一致）,0.955,0.0,1.09,11
000866096,370800,执行到位（计划与实际一致）,1.0,0.0,1.0,36
000866110,上海市,执行到位（计划与实际一致）,0.956,0.165,1.09,91
000866115,西安市,执行到位（计划与实际一致）,0.969,0.058,1.07,208
000866118,常州市,计划不够好（他有规律，计划写错天）,0.941,0.671,1.12,82
000866857,沈阳市,计划不够好（他有规律，计划写错天）,0.842,0.55,1.32,40
000866984,东莞市,执行到位（计划与实际一致）,0.997,0.071,1.01,155
000867936,江门市,执行到位（计划与实际一致）,0.964,0.016,1.08,192
000874142,惠州市,执行到位（计划与实际一致）,0.88,0.239,1.28,46
000874284,深圳市,执行到位（计划与实际一致）,0.932,0.068,1.14,234
000874293,厦门市,执行到位（计划与实际一致）,0.902,0.093,1.27,97
000874295,西安市,执行到位（计划与实际一致）,0.95,0.064,1.12,187
000874299,北京市,执行到位（计划与实际一致）,0.996,0.116,1.01,121
000874372,合肥市,计划不够好（他有规律，计划写错天）,0.778,0.556,1.48,27
000874584,佛山市,执行到位（计划与实际一致）,0.925,0.074,1.17,149
000874807,沈阳市,执行到位（计划与实际一致）,0.947,0.15,1.11,133
000874881,成都市,执行到位（计划与实际一致）,0.896,0.042,1.29,24
000874956,南京市,计划不够好（他有规律，计划写错天）,0.893,0.531,1.22,64
000874960,大连市,计划不够好（他有规律，计划写错天）,0.735,0.536,1.8,56
000875125,西安市,执行到位（计划与实际一致）,0.925,0.055,1.2,200
000875131,广州市,执行到位（计划与实际一致）,0.907,0.186,1.19,43
000875858,邯郸市,执行到位（计划与实际一致）,0.915,0.061,1.2,49
DS0001426,滨州市,计划不够好（他有规律，计划写错天）,0.96,0.84,1.08,25
DS0001773,阜阳市,执行到位（计划与实际一致）,0.984,0.199,1.03,156
DS0001866,宜昌市,执行到位（计划与实际一致）,0.944,0.156,1.11,160
NP0008185,乐山市,计划不够好（他有规律，计划写错天）,0.969,0.688,1.06,16
NP0008447,佛山市,计划不够好（他有规律，计划写错天）,0.94,0.444,1.12,187
NP0008452,贵阳市,执行到位（计划与实际一致）,0.956,0.042,1.1,72
NP0008680,天津市,计划不够好（他有规律，计划写错天）,0.968,0.925,1.08,93
NP0008682,宁波市,计划不够好（他有规律，计划写错天）,0.99,0.449,1.02,49
