line,svc_blocks,svc_cv,svc_compact,geo_blocks,geo_cv,wd_hit
000338545,11,0.754,0.288,6,1.667,0.961
000339039,6,0.443,0.565,2,0.991,0.96
000340007,11,0.78,0.67,6,1.3,0.816
000340101,6,0.378,0.459,1,0.0,0.9
000340501,5,0.124,0.398,1,0.0,0.709
000340591,9,0.515,0.497,3,0.791,0.93
000341803,5,0.15,0.447,1,0.0,0.841
000341860,6,0.458,0.405,2,0.991,0.77
000343720,5,0.44,0.509,3,0.211,1.0
000343775,13,0.951,0.541,5,1.508,0.663
000412000,8,0.608,0.429,5,0.759,0.588
000423268,7,0.652,0.516,2,0.982,0.82
000425319,5,0.288,0.548,1,0.0,0.924
000444100,21,1.267,0.726,18,2.522,0.447
000448996,6,0.25,0.41,2,0.746,0.961
000474825,7,0.484,0.399,1,0.0,0.884
000478015,10,0.88,0.565,4,1.1,0.285
000479151,5,0.04,0.449,1,0.0,0.986
000495972,8,0.758,0.466,2,0.991,0.429
000504766,23,1.378,0.6,15,2.417,0.201
000532987,5,0.186,0.513,1,0.0,0.9
000544784,10,0.971,0.804,6,2.175,0.499
000545650,8,0.728,0.435,2,0.992,0.07
000601353,7,0.627,0.433,2,0.13,0.959
000601363,6,0.449,0.398,2,0.99,0.086
000604272,20,1.537,0.713,17,1.952,0.117
000608772,14,1.11,0.581,6,1.49,0.423
000611030,9,0.765,0.466,6,0.842,0.539
000621190,24,0.755,0.495,9,1.588,0.148
000643531,8,0.759,0.541,4,1.703,0.323
000644322,9,0.831,0.565,4,1.626,0.817
000644405,21,1.198,0.6,10,2.106,0.612
000645986,24,0.714,0.532,9,1.114,0.138
000648339,5,0.14,0.399,1,0.0,0.269
000649981,6,0.753,0.417,2,0.986,0.75
000650808,5,0.897,0.628,4,1.15,0.905
000651389,5,0.084,0.426,1,0.0,0.625
000652136,6,0.446,0.41,2,0.959,0.874
000653294,5,0.738,0.6,5,0.738,0.98
000656726,30,0.722,0.579,12,1.141,0.096
000657892,7,0.425,0.422,4,1.08,0.76
000658193,10,0.897,0.716,9,1.372,0.975
000658550,4,0.395,0.742,2,0.25,0.0
000661437,13,1.091,0.621,7,1.799,0.693
000663253,5,0.707,0.514,1,0.0,0.91
000664988,20,0.794,0.645,9,1.584,0.02
000665947,15,0.488,1.0,5,0.861,0.067
000666131,5,0.109,0.368,1,0.0,0.963
000667049,13,1.077,0.505,9,2.403,0.158
000667325,12,0.828,0.445,7,1.606,0.224
000669395,6,0.933,0.609,4,1.04,0.108
000669401,3,0.708,0.267,2,0.879,0.837
000672773,13,0.632,0.384,4,1.067,0.538
000675049,16,1.213,0.566,12,2.424,0.572
000676068,10,0.583,0.497,6,1.371,0.009
000676593,5,0.53,1.0,4,0.905,0.2
000676638,21,0.847,0.709,10,1.196,0.308
000677137,5,0.041,0.258,1,0.0,0.439
000677953,10,0.839,0.582,5,1.77,0.591
000683993,6,0.425,0.289,1,0.0,0.198
000685128,12,0.968,0.593,8,2.113,0.632
000685195,18,0.871,0.562,8,2.053,0.522
000685565,10,0.811,0.375,4,1.702,0.964
000685659,5,0.166,0.425,1,0.0,0.762
000685664,9,0.813,0.354,4,1.629,0.738
000685767,8,0.722,0.374,3,0.688,0.89
000695113,6,0.459,0.436,2,0.991,0.758
000695117,5,0.35,1.0,3,0.202,0.7
000698771,6,0.34,0.427,2,0.842,0.829
000699200,5,0.148,0.296,1,0.0,0.949
000699805,13,0.851,0.477,5,1.641,0.945
000699979,5,0.096,0.625,1,0.0,1.0
000700020,5,0.142,0.397,1,0.0,0.997
000701809,26,1.484,0.833,20,1.758,0.331
