line,city,kind,plan_cells,act_cells,miss_cells,miss_cell_pct,blocks,blocks_worked,block_exec_median,svc_wd_hit,cover,sameday,plan_stores,never
000338545,天津市,区块全开·星期照做,40,40,0,0.0,11,11,1.0,0.961,0.91,0.889,211,19
000339039,汕头市,区块全开·星期照做,18,18,0,0.0,6,6,0.97,0.96,0.961,0.96,230,9
000340007,广州市,区块全开·星期照做,35,34,1,2.9,11,10,0.964,0.816,0.949,0.943,234,12
000340101,佛山市,区块全开·星期照做,28,25,3,10.7,6,6,0.935,0.9,0.888,0.885,179,20
000340501,郑州市,区块全开·店和星期都有欠,29,28,1,3.4,5,5,0.76,0.709,0.733,0.692,258,69
000340591,深圳市,区块全开·星期照做,16,16,0,0.0,9,9,1.0,0.93,1.0,1.0,153,0
000341803,惠州市,区块全开·星期照做,19,18,1,5.3,5,5,0.875,0.841,0.85,0.81,107,16
000341860,郑州市,区块全开·星期自己定,21,20,1,4.8,6,6,0.919,0.77,0.854,0.727,212,31
000343720,重庆市,区块全开·星期照做,7,7,0,0.0,5,5,1.0,1.0,1.0,1.0,44,0
000343775,扬州市,区块缺了没开,31,23,8,25.8,13,10,1.0,0.663,0.833,0.825,168,28
000412000,北京市,区块全开·店和星期都有欠,40,29,11,27.5,8,8,0.629,0.588,0.576,0.393,205,87
000423268,大连市,区块全开·星期照做,23,23,0,0.0,7,7,1.0,0.82,0.972,0.92,109,3
000425319,深圳市,区块全开·星期照做,17,17,0,0.0,5,5,0.977,0.924,0.954,0.96,152,7
000444100,北京市,区块缺了没开,58,41,17,29.3,21,17,0.645,0.447,0.581,0.377,210,88
000448996,合肥市,区块全开·星期照做,8,8,0,0.0,6,6,1.0,0.961,1.0,0.959,63,0
000474825,广州市,区块全开·星期照做,23,21,2,8.7,7,7,0.891,0.884,0.895,0.903,220,23
000478015,哈尔滨市,区块全开·店和星期都有欠,25,17,8,32.0,10,9,0.519,0.285,0.461,0.14,219,118
000479151,中山市,区块全开·星期照做,25,25,0,0.0,5,5,1.0,0.986,0.995,0.996,214,1
000495972,石家庄市,区块缺了没开,50,41,9,18.0,8,6,0.636,0.429,0.629,0.433,229,85
000504766,济南市,区块缺了没开,78,58,20,25.6,23,19,0.462,0.201,0.478,0.218,255,133
000532987,泉州市,区块全开·星期照做,15,15,0,0.0,5,5,1.0,0.9,0.978,0.979,178,4
000544784,北京市,区块缺了没开,20,16,4,20.0,10,8,0.597,0.499,0.561,0.301,221,97
000545650,太原市,区块缺了没开,26,19,7,26.9,8,6,0.468,0.07,0.483,0.038,242,125
000601353,东莞市,区块全开·星期照做,34,33,1,2.9,7,7,1.0,0.959,0.951,0.955,223,11
000601363,长春市,区块缺了没开,18,16,2,11.1,6,5,0.631,0.086,0.665,0.01,197,66
000604272,北京市,区块大面积没开工,46,21,25,54.3,20,11,0.35,0.117,0.389,0.232,149,91
000608772,沈阳市,区块大面积没开工,15,10,5,33.3,14,8,0.675,0.423,0.692,0.641,143,44
000611030,上海市,区块全开·星期自己定,18,17,1,5.6,9,9,1.0,0.539,0.851,0.851,67,10
000621190,青岛市,区块大面积没开工,49,26,23,46.9,24,13,0.209,0.148,0.445,0.147,218,121
000643531,天津市,区块缺了没开,29,18,11,37.9,8,7,0.42,0.323,0.391,0.03,238,145
000644322,海口市,区块缺了没开,23,22,1,4.3,9,8,0.938,0.817,0.876,0.857,217,27
000644405,漳州市,区块缺了没开,40,31,9,22.5,21,17,1.0,0.612,0.819,0.636,204,37
000645986,朔州市,计划与实际几乎不相交,41,20,21,51.2,24,13,0.108,0.138,0.262,0.148,229,169
000648339,保定市,区块全开·店和星期都有欠,22,14,8,36.4,5,5,0.422,0.269,0.414,0.245,244,143
000649981,东莞市,区块缺了没开,24,23,1,4.2,6,5,0.986,0.75,0.885,0.882,148,17
000650808,上海市,区块全开·星期照做,15,15,0,0.0,5,5,1.0,0.905,0.923,0.923,52,4
000651389,石家庄市,区块全开·店和星期都有欠,16,15,1,6.2,5,5,0.705,0.625,0.668,0.559,196,65
000652136,长沙市,区块全开·星期照做,26,24,2,7.7,6,6,0.919,0.874,0.923,0.925,196,15
000653294,大连市,区块全开·星期照做,7,7,0,0.0,5,5,1.0,0.98,1.0,1.0,24,0
000656726,金华市,区块大面积没开工,70,34,36,51.4,30,15,0.084,0.096,0.322,0.138,239,162
000657892,苏州市,区块全开·星期自己定,27,27,0,0.0,7,7,0.853,0.76,0.812,0.779,176,33
000658193,上海市,区块全开·星期照做,19,19,0,0.0,10,10,1.0,0.975,0.99,0.991,104,1
000658550,绵阳市,区块全开·星期自己定,8,8,0,0.0,4,4,1.0,0.0,1.0,1.0,16,0
000661437,大连市,区块全开·星期自己定,30,28,2,6.7,13,13,1.0,0.693,0.965,0.949,171,6
000663253,南京市,区块全开·星期照做,10,9,1,10.0,5,5,0.882,0.91,0.859,0.862,85,12
000664988,青岛市,计划与实际几乎不相交,35,8,27,77.1,20,7,0.0,0.02,0.083,0.019,229,210
