line,city,special,kind2,cover,blocks_worked,blocks,svc_wd_hit,miss_cell_pct
000338545,天津市,False,区块全开·星期照做,0.91,11,11,0.961,0.0
000339039,汕头市,False,区块全开·星期照做,0.961,6,6,0.96,0.0
000340007,广州市,False,区块全开·星期照做,0.949,10,11,0.816,2.9
000340101,佛山市,False,区块全开·星期照做,0.888,6,6,0.9,10.7
000340501,郑州市,False,区块全开·店和星期都有欠,0.733,5,5,0.709,3.4
000340591,深圳市,False,区块全开·星期照做,1.0,9,9,0.93,0.0
000341803,惠州市,False,区块全开·星期照做,0.85,5,5,0.841,5.3
000341860,郑州市,False,区块全开·星期自己定,0.854,6,6,0.77,4.8
000343720,重庆市,False,区块全开·星期照做,1.0,5,5,1.0,0.0
000343775,扬州市,False,区块缺了没开,0.833,10,13,0.663,25.8
000412000,北京市,False,区块全开·店和星期都有欠,0.576,8,8,0.588,27.5
000423268,大连市,False,区块全开·星期照做,0.972,7,7,0.82,0.0
000425319,深圳市,False,区块全开·星期照做,0.954,5,5,0.924,0.0
000444100,北京市,False,区块缺了没开,0.581,17,21,0.447,29.3
000448996,合肥市,False,区块全开·星期照做,1.0,6,6,0.961,0.0
000474825,广州市,False,区块全开·星期照做,0.895,7,7,0.884,8.7
000478015,哈尔滨市,False,区块全开·店和星期都有欠,0.461,9,10,0.285,32.0
000479151,中山市,False,区块全开·星期照做,0.995,5,5,0.986,0.0
000495972,石家庄市,False,区块缺了没开,0.629,6,8,0.429,18.0
000504766,济南市,False,区块缺了没开,0.478,19,23,0.201,25.6
000532987,泉州市,False,区块全开·星期照做,0.978,5,5,0.9,0.0
000544784,北京市,False,区块缺了没开,0.561,8,10,0.499,20.0
000545650,太原市,True,特殊·换人/归属待查,0.483,6,8,0.07,26.9
000601353,东莞市,False,区块全开·星期照做,0.951,7,7,0.959,2.9
000601363,长春市,True,特殊·换人/归属待查,0.665,5,6,0.086,11.1
000604272,北京市,True,特殊·换人/归属待查,0.389,11,20,0.117,54.3
000608772,沈阳市,False,区块大面积没开工,0.692,8,14,0.423,33.3
000611030,上海市,False,区块全开·星期自己定,0.851,9,9,0.539,5.6
000621190,青岛市,True,特殊·换人/归属待查,0.445,13,24,0.148,46.9
000643531,天津市,False,区块缺了没开,0.391,7,8,0.323,37.9
000644322,海口市,False,区块缺了没开,0.876,8,9,0.817,4.3
000644405,漳州市,False,区块缺了没开,0.819,17,21,0.612,22.5
000645986,朔州市,True,特殊·换人/归属待查,0.262,13,24,0.138,51.2
000648339,保定市,False,区块全开·店和星期都有欠,0.414,5,5,0.269,36.4
000649981,东莞市,False,区块缺了没开,0.885,5,6,0.75,4.2
000650808,上海市,False,区块全开·星期照做,0.923,5,5,0.905,0.0
000651389,石家庄市,False,区块全开·店和星期都有欠,0.668,5,5,0.625,6.2
000652136,长沙市,False,区块全开·星期照做,0.923,6,6,0.874,7.7
000653294,大连市,False,区块全开·星期照做,1.0,5,5,0.98,0.0
000656726,金华市,True,特殊·换人/归属待查,0.322,15,30,0.096,51.4
000657892,苏州市,False,区块全开·星期自己定,0.812,7,7,0.76,0.0
000658193,上海市,False,区块全开·星期照做,0.99,10,10,0.975,0.0
000658550,绵阳市,True,特殊·换人/归属待查,1.0,4,4,0.0,0.0
000661437,大连市,False,区块全开·星期自己定,0.965,13,13,0.693,6.7
000663253,南京市,False,区块全开·星期照做,0.859,5,5,0.91,10.0
000664988,青岛市,True,特殊·换人/归属待查,0.083,7,20,0.02,77.1
000665947,宝鸡市,True,特殊·换人/归属待查,0.216,5,15,0.067,81.8
000666131,深圳市,False,区块全开·星期照做,0.971,5,5,0.963,5.9
000667049,长春市,True,特殊·换人/归属待查,0.52,8,13,0.158,48.6
000667325,乌鲁木齐市,False,区块缺了没开,0.343,9,12,0.224,44.1
000669395,重庆市,True,特殊·换人/归属待查,0.881,6,6,0.108,15.4
000669401,兰州市,False,区块全开·星期照做,0.909,3,3,0.837,28.6
000672773,沈阳市,False,区块全开·店和星期都有欠,0.667,13,13,0.538,18.2
000675049,大连市,False,区块缺了没开,0.66,11,16,0.572,27.6
000676068,沈阳市,True,特殊·换人/归属待查,0.054,2,10,0.009,87.5
000676593,唐山市,False,区块全开·星期自己定,1.0,5,5,0.2,0.0
000676638,淄博市,False,区块缺了没开,0.657,15,21,0.308,34.1
000677137,长春市,False,区块全开·店和星期都有欠,0.52,5,5,0.439,15.0
000677953,潍坊市,False,区块全开·店和星期都有欠,0.62,10,10,0.591,15.2
000683993,包头市,True,特殊·换人/归属待查,0.552,6,6,0.198,11.1
000685128,佛山市,False,区块全开·星期自己定,0.887,12,12,0.632,14.3
000685195,金华市,False,区块全开·店和星期都有欠,0.757,17,18,0.522,12.8
000685565,厦门市,False,区块全开·星期照做,0.943,10,10,0.964,0.0
000685659,深圳市,False,区块全开·星期自己定,0.842,5,5,0.762,0.0
000685664,佛山市,False,区块缺了没开,0.844,8,9,0.738,4.0
000685767,广州市,False,区块全开·星期照做,0.882,8,8,0.89,9.4
000695113,中山市,False,区块缺了没开,0.933,5,6,0.758,4.8
000695117,成都市,False,区块缺了没开,0.714,4,5,0.7,20.0
000698771,深圳市,False,区块全开·星期照做,0.867,6,6,0.829,11.1
000699200,湛江市,False,区块全开·星期照做,0.949,5,5,0.949,0.0
000699805,汕头市,False,区块全开·星期照做,0.995,13,13,0.945,0.0
000699979,广州市,False,区块全开·星期照做,1.0,5,5,1.0,0.0
000700020,广州市,False,区块全开·星期照做,0.996,5,5,0.997,0.0
000701809,北京市,False,区块缺了没开,0.525,20,26,0.331,23.7
000702280,贵阳市,False,区块全开·星期照做,1.0,4,4,0.935,0.0
000702358,上海市,False,区块全开·星期照做,0.902,6,6,0.93,0.0
000703627,常州市,False,区块全开·星期照做,0.907,6,6,0.903,7.7
000705502,,False,区块全开·星期自己定,1.0,12,12,0.642,0.0
000706671,徐州市,False,区块全开·店和星期都有欠,0.76,7,7,0.755,14.3
000707336,阜阳市,False,区块全开·星期自己定,0.832,13,14,0.338,2.4
000707342,芜湖市,False,区块缺了没开,0.331,23,29,0.379,38.5
000709902,无锡市,False,区块全开·店和星期都有欠,0.801,5,5,0.779,0.0
000710328,嘉兴市,True,特殊·换人/归属待查,1.0,3,3,0.03,0.0
000711323,上海市,False,区块全开·星期照做,1.0,5,5,0.971,0.0
000711850,深圳市,False,区块全开·区块内欠访,0.826,6,6,0.839,8.6
000712217,昆明市,False,区块全开·星期自己定,0.98,7,7,0.71,0.0
000712433,郑州市,False,区块缺了没开,0.473,6,7,0.323,45.0
000712516,烟台市,True,特殊·换人/归属待查,0.317,5,5,0.047,53.3
000712606,包头市,False,区块缺了没开,0.804,7,8,0.724,5.9
000712608,沈阳市,False,区块缺了没开,0.468,9,12,0.41,47.8
000712667,广州市,False,区块全开·星期照做,1.0,6,6,1.0,0.0
000714057,北京市,False,区块全开·星期自己定,0.749,23,25,0.744,12.7
000714395,西安市,False,区块全开·星期照做,0.955,18,18,0.855,6.7
000714922,西宁市,False,区块全开·星期照做,0.896,9,9,0.826,0.0
000716325,广州市,False,区块缺了没开,0.595,7,8,0.603,9.1
000716327,肇庆市,False,区块全开·星期照做,0.931,5,5,0.936,5.9
000718160,银川市,False,区块全开·星期自己定,1.0,2,2,0.25,0.0
000721070,西安市,False,区块全开·星期照做,0.921,5,5,0.825,0.0
000724728,济南市,False,区块全开·店和星期都有欠,0.602,10,11,0.385,26.1
000725968,三亚市,False,区块全开·店和星期都有欠,0.848,10,10,0.761,5.9
000732776,温州市,False,区块缺了没开,0.507,5,6,0.284,41.2
000733133,潍坊市,False,区块全开·店和星期都有欠,0.558,9,9,0.393,8.8
000733235,哈尔滨市,False,区块全开·店和星期都有欠,0.81,6,6,0.714,0.0
000734397,重庆市,False,区块全开·星期自己定,1.0,3,3,0.667,0.0
000734621,无锡市,False,区块全开·星期照做,0.972,7,7,0.802,0.0
000741130,深圳市,False,区块全开·星期照做,0.86,5,5,0.848,15.4
000741226,烟台市,False,区块缺了没开,0.415,8,9,0.207,31.0
000765513,武汉市,False,区块全开·星期自己定,0.885,6,6,0.788,17.4
000767735,北京市,False,区块缺了没开,0.437,5,6,0.276,17.6
000770730,厦门市,False,区块全开·星期照做,0.938,11,11,0.91,2.9
000771486,广州市,False,区块全开·星期照做,0.88,5,5,0.886,14.3
000771641,珠海市,False,区块全开·星期照做,0.954,5,5,0.91,0.0
000771816,福州市,False,区块全开·星期照做,0.985,11,11,0.941,0.0
000772089,广州市,False,区块全开·星期照做,0.944,5,5,0.938,0.0
000772527,厦门市,False,区块全开·星期照做,0.88,12,12,0.865,11.8
000772623,武汉市,False,区块缺了没开,0.792,8,9,0.426,10.7
000772790,昆明市,False,区块全开·星期自己定,0.986,6,6,0.737,0.0
000772796,兰州市,False,区块全开·星期自己定,0.905,6,6,0.639,12.5
