line,P0_rows,P0_sameday,P0_wd,P0_cover,P0_compliance,P2_rows,P2_sameday,P2_wd,P2_cover,P2_compliance,dropped_stores,dropped_rows
000338545,121,81.8,81.8,81.8,81.8,52.0,36.5,73.1,73.1,42.3,95,69
000339039,131,98.5,98.5,99.2,99.2,49.0,51.0,100.0,100.0,55.6,107,82
000340007,133,95.5,95.4,95.4,95.4,56.0,44.6,89.3,89.3,44.6,102,77
000340101,103,96.1,96.1,96.1,96.1,12.0,50.0,100.0,100.0,50.0,97,91
000340501,162,59.3,59.3,61.7,61.7,111.0,28.8,58.2,58.2,28.8,107,51
000340591,121,100.0,100.0,100.0,100.0,49.0,51.0,100.0,100.0,53.5,87,72
000341803,65,95.4,95.4,95.4,95.4,14.0,57.1,100.0,100.0,62.5,57,51
000341860,132,88.6,88.2,89.0,89.0,60.0,48.3,96.7,100.0,51.7,97,72
000343720,20,100.0,100.0,100.0,100.0,,,,,,20,20
000343775,97,81.4,81.4,81.4,81.4,11.0,36.4,66.7,66.7,41.7,91,86
000412000,127,27.6,29.8,34.7,33.9,22.0,4.5,9.1,9.1,4.5,110,105
000423268,76,88.2,88.2,92.1,92.1,39.0,48.7,81.8,86.4,59.1,54,37
000425319,72,100.0,100.0,100.0,100.0,39.0,71.8,100.0,100.0,80.4,44,33
000444100,121,23.1,24.0,28.1,28.1,53.0,0.0,0.0,0.0,0.0,95,68
000448996,39,100.0,100.0,100.0,100.0,24.0,50.0,100.0,100.0,54.2,27,15
000474825,122,94.3,94.3,94.3,94.3,58.0,48.3,96.6,96.6,50.0,93,64
000478015,114,2.6,8.9,27.7,27.7,30.0,0.0,0.0,0.0,0.0,97,84
000479151,127,100.0,100.0,100.0,100.0,46.0,50.0,100.0,100.0,50.0,103,81
000495972,125,22.4,27.2,50.4,50.4,14.0,0.0,0.0,0.0,0.0,118,111
000504766,142,14.8,18.3,35.2,35.2,54.0,0.0,0.0,25.9,13.0,115,88
000532987,110,100.0,100.0,100.0,100.0,46.0,50.0,100.0,100.0,50.0,87,64
000544784,128,26.6,29.1,39.4,39.0,61.0,3.3,6.7,10.0,5.0,97,67
000545650,131,3.8,6.9,29.0,29.0,62.0,1.6,3.2,3.2,1.6,100,69
000601353,115,97.4,97.4,97.4,97.4,38.0,50.0,100.0,100.0,50.0,96,77
000601363,104,1.9,3.8,29.8,29.8,100.0,0.0,0.0,0.0,0.0,54,4
000604272,67,29.9,29.9,38.8,38.8,12.0,8.3,12.5,37.5,37.5,59,55
000608772,90,71.1,69.0,69.0,69.0,32.0,46.9,82.4,82.4,50.0,67,58
000611030,31,100.0,100.0,100.0,100.0,8.0,50.0,66.7,100.0,50.0,27,23
000621190,139,12.2,15.4,24.4,24.4,54.0,0.0,0.0,0.0,0.0,108,85
000643531,122,3.3,8.3,26.4,26.4,48.0,0.0,0.0,4.2,2.1,97,74
000644322,121,94.2,94.2,95.0,95.0,42.0,42.9,85.7,90.5,45.2,100,79
000644405,119,51.3,51.7,64.4,64.0,50.0,4.0,8.0,8.0,4.0,93,69
000645986,116,8.6,8.6,19.0,19.0,6.0,16.7,33.3,33.3,16.7,113,110
000648339,132,6.8,7.6,12.9,12.9,54.0,0.0,0.0,0.0,0.0,105,78
000649981,79,98.7,98.7,98.7,98.7,21.0,47.6,90.9,90.9,45.5,68,58
000650808,25,96.0,96.0,96.0,96.0,6.0,50.0,100.0,100.0,50.0,22,19
000651389,109,67.9,71.2,74.0,72.6,6.0,16.7,33.3,33.3,16.7,101,103
000652136,109,94.5,94.5,94.5,94.5,38.0,50.0,100.0,100.0,50.0,90,71
000653294,20,100.0,100.0,100.0,100.0,,,,,,20,20
000656726,130,8.5,10.0,17.7,17.7,38.0,0.0,0.0,5.3,2.6,111,92
000657892,87,93.1,93.1,93.1,93.1,26.0,50.0,100.0,100.0,61.5,74,61
000658193,50,98.0,98.0,98.0,98.0,13.0,61.5,100.0,100.0,75.0,42,37
000658550,11,100.0,100.0,100.0,100.0,,,,,,11,11
000661437,101,92.1,93.1,93.1,93.1,62.0,46.8,93.5,93.5,46.8,70,39
000663253,41,90.2,90.2,90.2,90.2,2.0,100.0,100.0,100.0,100.0,39,39
000664988,135,3.7,4.5,11.3,11.3,2.0,0.0,0.0,0.0,0.0,132,133
000666131,134,97.0,97.0,97.0,97.0,34.0,50.0,100.0,100.0,50.0,117,100
000667049,125,7.2,11.2,27.2,27.2,59.0,0.0,0.0,3.4,1.7,96,66
