line,stores,changed,base_hit,new_hit,cap_L1_old,cap_L1_new,blocks_old,blocks_new,cv_old,cv_new,compact_old,compact_new
000338545,103,0,0.981,0.981,0.101,0.101,11,11,0.754,0.754,0.288,0.288
000339039,135,1,0.97,0.963,0.103,0.095,6,6,0.443,0.445,0.565,0.505
000340007,124,3,1.0,0.976,0.126,0.126,11,11,0.78,0.781,0.67,0.67
000340101,101,2,1.0,0.98,0.069,0.086,6,8,0.378,0.703,0.459,0.49
000340501,101,3,0.96,0.95,0.36,0.366,5,5,0.124,0.124,0.398,0.308
000340591,111,10,1.0,0.919,0.039,0.069,9,11,0.515,0.638,0.497,0.509
000341803,66,1,0.924,0.924,0.22,0.142,5,5,0.15,0.161,0.447,0.447
000341860,119,22,0.941,0.882,0.131,0.251,6,7,0.458,0.644,0.405,0.396
000343720,25,0,0.8,0.8,0.779,0.779,5,5,0.44,0.44,0.509,0.509
000343775,79,8,0.987,0.949,0.055,0.083,13,13,0.951,0.936,0.541,0.541
000412000,44,12,0.818,0.795,0.481,0.472,8,16,0.608,1.223,0.429,0.871
000423268,72,14,0.931,0.778,0.193,0.246,7,12,0.652,1.116,0.516,0.796
000425319,72,5,1.0,0.931,0.126,0.172,5,6,0.288,0.521,0.548,0.581
000444100,38,26,0.763,0.763,0.499,0.458,21,31,1.267,1.479,0.726,1.0
000448996,39,3,1.0,0.949,0.175,0.283,6,6,0.25,0.153,0.41,0.456
000474825,116,0,0.991,0.991,0.165,0.165,7,7,0.484,0.484,0.399,0.399
000478015,51,14,0.353,0.353,0.264,0.283,10,11,0.88,0.97,0.565,0.481
000479151,126,2,1.0,0.984,0.131,0.115,5,5,0.04,0.056,0.449,0.452
000495972,64,2,0.531,0.531,0.432,0.416,8,8,0.758,0.757,0.466,0.473
000504766,54,39,0.519,0.5,0.658,0.623,23,30,1.378,1.379,0.6,0.881
000532987,110,6,1.0,0.945,0.096,0.117,5,8,0.186,0.779,0.513,0.513
000544784,61,15,0.689,0.689,0.052,0.08,10,10,0.971,0.983,0.804,0.699
000545650,63,42,0.238,0.206,0.267,0.253,8,8,0.728,0.744,0.435,0.368
000601353,123,0,0.911,0.911,0.079,0.079,7,7,0.627,0.627,0.433,0.433
000601363,55,63,0.145,0.145,1.08,0.984,6,9,0.449,0.91,0.398,0.766
000604272,33,11,0.606,0.606,0.345,0.342,20,24,1.537,1.672,0.713,0.953
000608772,60,12,0.85,0.7,0.215,0.287,14,14,1.11,1.11,0.581,0.56
000611030,36,6,0.472,0.472,0.508,0.418,9,13,0.765,1.003,0.466,1.0
000621190,45,26,0.467,0.467,0.437,0.415,24,27,0.755,0.875,0.495,0.554
000643531,51,33,0.353,0.373,0.123,0.157,8,9,0.759,0.866,0.541,0.369
000644322,118,2,0.966,0.958,0.09,0.097,9,10,0.831,0.928,0.565,0.603
000644405,76,1,0.724,0.724,0.268,0.276,21,21,1.198,1.208,0.6,0.6
000645986,22,12,0.455,0.455,0.427,0.401,24,24,0.714,0.708,0.532,0.463
000648339,22,26,0.5,0.5,0.319,0.274,5,5,0.14,0.154,0.399,0.277
000649981,79,9,0.975,0.899,0.286,0.286,6,10,0.753,1.166,0.417,0.615
000650808,26,3,0.923,0.808,0.871,0.833,5,6,0.897,1.136,0.628,0.814
000651389,82,0,0.927,0.927,0.257,0.257,5,5,0.084,0.084,0.426,0.426
000652136,103,4,1.0,0.971,0.186,0.186,6,7,0.446,0.616,0.41,0.427
000653294,23,0,0.913,0.913,1.117,1.117,5,5,0.738,0.738,0.6,0.6
000656726,23,31,0.565,0.565,0.216,0.206,30,40,0.722,0.919,0.579,0.74
000657892,89,0,0.91,0.91,0.201,0.201,7,7,0.425,0.425,0.422,0.422
000658193,55,2,0.891,0.855,0.544,0.532,10,11,0.897,0.938,0.716,0.719
000658550,14,5,0.0,0.214,0.57,0.647,4,4,0.395,0.395,0.742,0.742
000661437,108,26,0.898,0.741,0.309,0.253,13,14,1.091,1.05,0.621,0.774
000663253,38,0,0.974,0.974,0.443,0.443,5,5,0.707,0.707,0.514,0.514
000664988,18,1,0.222,0.222,1.232,1.255,20,21,0.794,0.842,0.645,0.658
000666131,131,2,0.992,0.985,0.093,0.108,5,6,0.109,0.449,0.368,0.417
000667049,55,37,0.4,0.382,0.692,0.675,13,14,1.077,1.106,0.505,0.744
000667325,47,16,0.319,0.255,0.3,0.347,12,21,0.828,1.296,0.445,0.937
000669395,19,23,0.474,0.474,0.621,0.627,6,8,0.933,0.807,0.609,0.665
000669401,14,4,1.0,0.929,1.411,1.229,3,4,0.708,0.921,0.267,0.408
000672773,74,4,0.797,0.797,0.33,0.254,13,13,0.632,0.608,0.384,0.384
000675049,47,3,0.957,0.915,0.795,0.785,16,17,1.213,1.262,0.566,0.652
000676068,5,0,0.2,0.2,0.637,0.678,10,10,0.583,0.583,0.497,0.497
000676593,9,4,0.111,0.222,1.244,1.064,5,6,0.53,0.582,1.0,1.0
000676638,72,11,0.5,0.472,0.462,0.544,21,21,0.847,0.857,0.709,0.72
000677137,47,2,0.681,0.681,0.322,0.3,5,5,0.041,0.054,0.258,0.251
000677953,69,16,0.565,0.565,0.43,0.438,10,18,0.839,1.306,0.582,1.0
000683993,52,48,0.385,0.423,0.2,0.17,6,8,0.425,0.743,0.289,0.455
000685128,76,5,1.0,0.987,0.351,0.327,12,13,0.968,1.011,0.593,0.568
000685195,97,31,0.619,0.619,0.477,0.568,18,28,0.871,1.215,0.562,0.645
000685565,124,0,0.976,0.976,0.198,0.206,10,10,0.811,0.811,0.375,0.375
000685659,77,13,0.857,0.857,0.119,0.058,5,8,0.166,0.67,0.425,0.432
000685664,102,0,1.0,1.0,0.114,0.114,9,9,0.813,0.813,0.354,0.354
000685767,80,12,0.975,0.875,0.194,0.211,8,9,0.722,0.784,0.374,0.403
000695113,127,5,0.992,0.969,0.028,0.065,6,6,0.459,0.458,0.436,0.41
000695117,3,0,0.667,0.667,0.57,0.57,5,5,0.35,0.35,1.0,1.0
000698771,121,6,1.0,0.975,0.152,0.17,6,7,0.34,0.481,0.427,0.477
000699200,123,0,0.976,0.976,0.114,0.114,5,5,0.148,0.148,0.296,0.296
000699805,123,8,0.984,0.943,0.112,0.099,13,18,0.851,1.118,0.477,0.508
000699979,132,0,1.0,1.0,0.084,0.084,5,5,0.096,0.096,0.625,0.625
000700020,132,0,1.0,1.0,0.069,0.069,5,5,0.142,0.142,0.397,0.397
000701809,58,24,0.707,0.69,0.403,0.403,26,35,1.484,1.711,0.833,1.0
000702280,27,7,0.889,0.704,1.147,0.912,4,6,0.922,0.969,0.597,0.564
000702358,117,0,1.0,1.0,0.051,0.051,6,6,0.469,0.469,0.601,0.601
000703627,69,1,0.971,0.957,0.424,0.442,6,6,0.462,0.455,0.619,0.608
000705502,44,14,0.682,0.591,0.693,0.549,12,15,1.087,0.873,0.96,0.929
000706671,73,14,0.877,0.836,0.212,0.072,7,7,0.63,0.697,0.675,0.521
000707336,68,25,0.662,0.544,0.514,0.511,14,21,0.598,0.845,0.54,0.681
000707342,28,1,0.679,0.679,0.339,0.327,29,29,0.884,0.881,0.673,0.673
000709902,94,3,0.947,0.947,0.222,0.234,5,8,0.128,0.767,0.322,0.677
000710328,2,11,0.5,0.0,1.239,1.331,3,4,1.088,1.199,1.0,1.0
000711323,73,3,0.945,0.932,0.236,0.222,5,7,0.352,0.72,0.41,0.605
000711850,132,1,0.992,0.985,0.086,0.08,6,7,0.406,0.593,0.393,0.436
000712217,119,14,0.672,0.664,0.363,0.37,7,9,0.735,1.0,0.52,0.52
000712433,24,9,0.917,0.833,0.208,0.179,7,9,0.589,0.823,0.433,0.49
000712516,39,12,0.256,0.256,0.559,0.526,5,9,0.664,1.187,0.279,0.563
