line,city,kind3,block_match,wd_match_cell,plan_cells,act_cells
000338545,天津市,①基本一样,1.0,1.0,40,40
000339039,汕头市,①基本一样,1.0,0.944,18,18
000340007,广州市,①基本一样,0.971,1.0,35,34
000340101,佛山市,①基本一样,0.893,1.0,28,25
000340501,郑州市,①基本一样,0.966,0.929,29,28
000340591,深圳市,①基本一样,1.0,1.0,16,16
000341803,惠州市,①基本一样,0.947,0.889,19,18
000341860,郑州市,①基本一样,0.952,0.95,21,20
000343720,重庆市,①基本一样,1.0,1.0,7,7
000343775,扬州市,③都不一样,0.742,0.87,31,23
000412000,北京市,③都不一样,0.725,0.862,40,29
000423268,大连市,①基本一样,1.0,0.783,23,23
000425319,深圳市,①基本一样,1.0,0.882,17,17
000444100,北京市,③都不一样,0.707,0.659,58,41
000448996,合肥市,①基本一样,1.0,0.875,8,8
000474825,广州市,①基本一样,0.913,0.952,23,21
000478015,哈尔滨市,③都不一样,0.68,0.471,25,17
000479151,中山市,①基本一样,1.0,1.0,25,25
000495972,石家庄市,①基本一样,0.82,0.805,50,41
000504766,济南市,③都不一样,0.744,0.552,78,58
000532987,泉州市,①基本一样,1.0,0.933,15,15
000544784,北京市,①基本一样,0.8,0.875,20,16
000545650,太原市,③都不一样,0.731,0.316,26,19
000601353,东莞市,①基本一样,0.971,1.0,34,33
000601363,长春市,②区块基本一样·星期几不一样,0.889,0.125,18,16
000604272,北京市,③都不一样,0.457,0.619,46,21
000608772,沈阳市,③都不一样,0.667,0.9,15,10
000611030,上海市,②区块基本一样·星期几不一样,0.944,0.412,18,17
000621190,青岛市,③都不一样,0.531,0.462,49,26
000643531,天津市,③都不一样,0.621,0.444,29,18
000644322,海口市,①基本一样,0.957,0.955,23,22
000644405,漳州市,③都不一样,0.775,0.839,40,31
000645986,朔州市,③都不一样,0.488,0.4,41,20
000648339,保定市,③都不一样,0.636,0.714,22,14
000649981,东莞市,①基本一样,0.958,0.957,24,23
000650808,上海市,①基本一样,1.0,0.933,15,15
000651389,石家庄市,①基本一样,0.938,1.0,16,15
000652136,长沙市,①基本一样,0.923,1.0,26,24
000653294,大连市,①基本一样,1.0,0.857,7,7
000656726,金华市,③都不一样,0.486,0.471,70,34
000657892,苏州市,①基本一样,1.0,1.0,27,27
000658193,上海市,①基本一样,1.0,0.947,19,19
000658550,绵阳市,②区块基本一样·星期几不一样,1.0,0.0,8,8
000661437,大连市,①基本一样,0.933,0.857,30,28
000663253,南京市,①基本一样,0.9,1.0,10,9
000664988,青岛市,③都不一样,0.229,0.0,35,8
000665947,宝鸡市,③都不一样,0.182,0.0,11,2
000666131,深圳市,①基本一样,0.941,1.0,17,16
000667049,长春市,③都不一样,0.514,0.389,35,18
000667325,乌鲁木齐市,③都不一样,0.559,0.515,59,33
000669395,重庆市,②区块基本一样·星期几不一样,0.846,0.182,13,11
000669401,兰州市,③都不一样,0.714,1.0,7,5
000672773,沈阳市,①基本一样,0.818,0.852,33,27
000675049,大连市,③都不一样,0.724,0.952,29,21
000676068,沈阳市,③都不一样,0.125,0.5,16,2
000676593,唐山市,②区块基本一样·星期几不一样,1.0,0.125,8,8
000676638,淄博市,③都不一样,0.659,0.655,44,29
000677137,长春市,①基本一样,0.85,0.824,20,17
000677953,潍坊市,②区块基本一样·星期几不一样,0.848,0.667,46,39
000683993,包头市,②区块基本一样·星期几不一样,0.889,0.375,18,16
000685128,佛山市,①基本一样,0.857,0.875,28,24
000685195,金华市,②区块基本一样·星期几不一样,0.872,0.588,39,34
000685565,厦门市,①基本一样,1.0,0.917,24,24
000685659,深圳市,①基本一样,1.0,1.0,9,9
000685664,佛山市,①基本一样,0.96,1.0,25,24
000685767,广州市,①基本一样,0.906,0.966,32,29
000695113,中山市,①基本一样,0.952,0.95,21,20
000695117,成都市,①基本一样,0.8,1.0,5,4
000698771,深圳市,①基本一样,0.889,1.0,27,24
000699200,湛江市,①基本一样,1.0,1.0,15,15
000699805,汕头市,①基本一样,1.0,0.935,46,46
000699979,广州市,①基本一样,1.0,1.0,8,8
000700020,广州市,①基本一样,1.0,1.0,13,13
000701809,北京市,③都不一样,0.763,0.822,59,45
000702280,贵阳市,①基本一样,1.0,1.0,10,10
000702358,上海市,①基本一样,1.0,1.0,17,17
000703627,常州市,①基本一样,0.923,1.0,13,12
000705502,,①基本一样,1.0,0.833,18,18
000706671,徐州市,①基本一样,0.857,0.944,21,18
000707336,阜阳市,②区块基本一样·星期几不一样,0.976,0.415,42,41
000707342,芜湖市,③都不一样,0.615,0.792,39,24
000709902,无锡市,①基本一样,1.0,0.867,15,15
000710328,嘉兴市,②区块基本一样·星期几不一样,1.0,0.167,6,6
000711323,上海市,①基本一样,1.0,0.933,15,15
000711850,深圳市,①基本一样,0.914,1.0,35,32
000712217,昆明市,②区块基本一样·星期几不一样,1.0,0.6,25,25
000712433,郑州市,③都不一样,0.55,0.636,20,11
000712516,烟台市,③都不一样,0.467,0.143,30,14
000712606,包头市,①基本一样,0.941,0.938,17,16
000712608,沈阳市,③都不一样,0.522,0.75,46,24
000712667,广州市,①基本一样,1.0,1.0,9,9
000714057,北京市,①基本一样,0.873,0.896,55,48
000714395,西安市,①基本一样,0.933,0.929,45,42
000714922,西宁市,①基本一样,1.0,0.929,14,14
000716325,广州市,①基本一样,0.909,0.85,22,20
000716327,肇庆市,①基本一样,0.941,1.0,17,16
000718160,银川市,②区块基本一样·星期几不一样,1.0,0.25,4,4
000721070,西安市,①基本一样,1.0,0.889,9,9
000724728,济南市,③都不一样,0.739,0.676,46,34
000725968,三亚市,①基本一样,0.941,0.969,34,32
000732776,温州市,③都不一样,0.588,0.5,17,10
000733133,潍坊市,②区块基本一样·星期几不一样,0.912,0.581,34,31
000733235,哈尔滨市,①基本一样,1.0,1.0,11,11
000734397,重庆市,①基本一样,1.0,0.75,4,4
000734621,无锡市,①基本一样,1.0,0.967,30,30
000741130,深圳市,①基本一样,0.846,1.0,13,11
000741226,烟台市,③都不一样,0.69,0.5,29,20
000765513,武汉市,①基本一样,0.826,1.0,23,19
000767735,北京市,②区块基本一样·星期几不一样,0.824,0.643,17,14
000770730,厦门市,①基本一样,0.971,1.0,35,34
000771486,广州市,①基本一样,0.857,1.0,7,6
000771641,珠海市,①基本一样,1.0,1.0,29,29
000771816,福州市,①基本一样,1.0,0.967,30,30
000772089,广州市,①基本一样,1.0,1.0,14,14
000772527,厦门市,①基本一样,0.882,1.0,34,30
000772623,武汉市,①基本一样,0.893,0.8,28,25
000772790,昆明市,①基本一样,1.0,0.867,15,15
000772796,兰州市,②区块基本一样·星期几不一样,0.875,0.571,8,7
000773393,郑州市,①基本一样,0.879,0.966,33,29
000774113,太原市,①基本一样,0.833,0.95,24,20
000782263,昆明市,①基本一样,1.0,0.786,14,14
000782275,昆明市,①基本一样,1.0,1.0,8,8
000782642,惠州市,①基本一样,0.919,1.0,37,34
000787397,哈尔滨市,③都不一样,0.478,0.545,23,11
000795399,天津市,③都不一样,0.581,0.28,43,25
000796635,呼和浩特市,①基本一样,0.952,0.75,21,20
000798424,上海市,①基本一样,1.0,1.0,9,9
000799013,唐山市,③都不一样,0.75,0.167,8,6
000811058,深圳市,①基本一样,0.926,0.92,27,25
000811371,贵阳市,①基本一样,0.929,1.0,14,13
000825758,合肥市,③都不一样,0.735,0.56,34,25
000825796,南通市,③都不一样,0.75,0.929,56,42
000826064,太原市,②区块基本一样·星期几不一样,0.833,0.5,12,10
000826911,杭州市,①基本一样,0.909,0.9,11,10
000829112,重庆市,①基本一样,1.0,0.8,5,5
000837348,重庆市,②区块基本一样·星期几不一样,0.944,0.647,18,17
000838047,北京市,①基本一样,1.0,0.909,11,11
000838882,重庆市,②区块基本一样·星期几不一样,1.0,0.385,13,13
000840245,上海市,①基本一样,0.9,0.963,30,27
000843187,苏州市,③都不一样,0.0,0.0,13,0
000844662,成都市,③都不一样,0.75,1.0,4,3
000845240,咸阳市,③都不一样,0.658,0.0,38,25
000845597,茂名市,①基本一样,0.875,1.0,16,14
000846281,合肥市,①基本一样,0.9,0.778,20,18
000847598,北京市,①基本一样,0.938,0.867,16,15
000847739,石家庄市,①基本一样,0.957,0.864,23,22
000851279,北京市,②区块基本一样·星期几不一样,0.882,0.6,17,15
000851281,成都市,①基本一样,1.0,1.0,10,10
000851283,成都市,①基本一样,1.0,0.8,10,10
000851322,成都市,①基本一样,1.0,1.0,10,10
000851717,眉山市,②区块基本一样·星期几不一样,1.0,0.583,36,36
000851729,西安市,①基本一样,0.971,0.941,35,34
000851730,青岛市,③都不一样,0.681,0.766,69,47
000851773,深圳市,①基本一样,1.0,1.0,10,10
000852009,成都市,①基本一样,1.0,0.857,7,7
000852603,成都市,①基本一样,1.0,1.0,9,9
000855033,上海市,①基本一样,0.875,1.0,8,7
000855364,杭州市,②区块基本一样·星期几不一样,0.8,0.583,15,12
000855388,杭州市,①基本一样,0.917,0.909,24,22
000855395,上海市,②区块基本一样·星期几不一样,0.923,0.583,13,12
000855576,上海市,①基本一样,0.909,0.9,22,20
000855577,石家庄市,②区块基本一样·星期几不一样,0.842,0.625,19,16
000855578,泰州市,③都不一样,0.778,0.821,36,28
000855582,青岛市,③都不一样,0.483,0.5,58,28
000856001,温州市,③都不一样,0.674,0.29,46,31
000856514,重庆市,①基本一样,1.0,0.857,7,7
000857154,,①基本一样,1.0,0.9,10,10
000859299,成都市,①基本一样,1.0,1.0,7,7
000859505,宁波市,③都不一样,0.583,0.429,24,14
